entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMAJUSTEDEESTADOS","codigo","ajuestadosDet","ajdCodigo",F,"G",38,0,"CODIGO",T,"",F,"",F,""
"ITEMAJUSTEDEESTADOS","NoProcesarStock","ajuestadosDet","ProcStock",F,"L",1,0,"SINOBOOL",F,"",F,"",F,""
"ITEMAJUSTEDEESTADOS","CodigoDeBarras","","",F,"C",46,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTEDEESTADOS","Equivalencia","ajuestadosDet","Equiv",F,"C",14,0,"CODIGO",F,"Equivalencia",F,"",F,""
"ITEMAJUSTEDEESTADOS","Comportamiento","ajuestadosDet","COMP",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMAJUSTEDEESTADOS","Situacion","ajuestadosDet","ajSituac",T,"C",40,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTEDEESTADOS","Articulo","ajuestadosDet","ajdart",T,"C",13,0,"CODIGO",F,"ARTICULO",F,"",F,""
"ITEMAJUSTEDEESTADOS","ArticuloDetalle","ajuestadosDet","ajdADesc",T,"C",40,0,"DESCRIPCION",F,"",T,"",F,"articulo.descripcion"
"ITEMAJUSTEDEESTADOS","Color","ajuestadosDet","ajdColor",T,"C",2,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMAJUSTEDEESTADOS","ColorDetalle","ajuestadosDet","ajdCDesc",T,"C",50,0,"DESCRIPCION",F,"",T,"",F,"Color.descripcion"
"ITEMAJUSTEDEESTADOS","Talle","ajuestadosDet","ajdTalle",T,"C",3,0,"CARACTER",F,"",F,"",F,""
"ITEMAJUSTEDEESTADOS","StockAct","ajuestadosDet","ajdstock",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTEDEESTADOS","StockProy","ajuestadosDet","ajdstocksi",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMAJUSTEDEESTADOS","Cantidad","ajuestadosDet","ajdCant",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
