entidad,atributo,tabla,campo,alta,tipodato,longitud,decimales,dominio,claveprimaria,claveforanea,muestrarelacion,valorsugerido,obligatorio,atributoforaneo
"ITEMFECHACANCELACION","Codigo","FecCanDet","Codigo",F,"C",10,0,"CODIGO",T,"",F,"",F,""
"ITEMFECHACANCELACION","Comportamiento","FecCanDet","Comp",F,"N",1,0,"NUMERICO",F,"",F,"",F,"Articulo.Comportamiento"
"ITEMFECHACANCELACION","NumeroItemOriginal","","",F,"N",5,0,"NUMERICO",F,"",F,"",F,""
"ITEMFECHACANCELACION","CodigoOpeEcommerce","","",F,"C",38,0,"CARACTER",F,"",F,"",F,""
"ITEMFECHACANCELACION","IDPublicacion","","",T,"C",13,0,"CARACTER",F,"",F,"",F,""
"ITEMFECHACANCELACION","Articulo","","",T,"C",15,0,"CODIGO",F,"ARTICULO",F,"",T,""
"ITEMFECHACANCELACION","ArticuloDetalle","","",T,"C",100,0,"DESCRIPCION",F,"",T,"",F,"Articulo.Descripcion"
"ITEMFECHACANCELACION","Color","","",T,"C",6,0,"CODIGO",F,"COLOR",F,"",F,""
"ITEMFECHACANCELACION","Talle","","",T,"C",5,0,"CODIGO",F,"TALLE",F,"",F,""
"ITEMFECHACANCELACION","Cantidad","","",T,"N",10,0,"NUMERICO",F,"",F,"",F,""
"ITEMFECHACANCELACION","Precio","","",T,"N",12,2,"NUMERICO",F,"",F,"",F,""
"ITEMFECHACANCELACION","Monto","","",T,"N",15,2,"NUMERICO",F,"",F,"",F,""
"ITEMFECHACANCELACION","FechaCancelacion","","",T,"D",8,0,"FECHA",F,"",F,"",F,""
